opportunity_id,opp_owner_user_id,opp_owner_geo,segment,opportunity_type,close_date,opportunity_value,product_family_count,rep_name,year,quarter,month
0061Y00000QA2slZRZ,0054z00000AAVA1E1V,EMEA,Corporate,New Business,2020-12-23,93242.88,3,Unknown Rep,2020,4,12
0061Y00000QA2smSSW,0054z00000AAFA1E0j,EMEA,Enterprise,Upsell,2021-02-27,164947.2,4,Unknown Rep,2021,1,2
0061Y00000QA2smWHQ,0051Y00000QARBei3T,EMEA,Corporate,Upsell,2020-10-27,17789.77,3,Unknown Rep,2020,4,10
0061Y00000QA2oqWWY,0054z00000AAFA1E0k,EMEA,Enterprise,Upsell,2019-11-25,137524.72,2,Unknown Rep,2019,4,11
0061Y00000QA2twXSM,0051Y00000QARBgp8X,APAC,Corporate,Upsell,2021-02-24,15968.19,4,Unknown Rep,2021,1,2
0061Y00000QA2nnHCX,0054z00000AAVA1E1X,EMEA,Enterprise,Upsell,2019-03-14,38449.19,1,Unknown Rep,2019,1,3
0061Y00000QA2tuAFA,0054z00000AAQ9zzrE,APAC,Corporate,Upsell,2020-12-17,6332.06,4,Unknown Rep,2020,4,12
0061Y00000QA0rInCE,0051Y00000QARBei3T,EMEA,Corporate,Upsell,2020-04-23,21259.1,1,Unknown Rep,2020,2,4
0061Y00000QA2s0SYE,0054z00000AAPAKIS3,EMEA,Enterprise,Upsell,2020-05-08,49364.57,1,Unknown Rep,2020,2,5
0061Y00000QA0pOsXL,0054z00000AAPAKOSd,AMER,Enterprise,New Business,2020-03-31,127834.08,4,Unknown Rep,2020,1,3
0061Y00000QA0rHrQY,0054z00000AAFA1E0p,AMER,Enterprise,Upsell,2020-03-17,114308.41,2,Bob Smith,2020,1,3
0061Y00000QA2twUED,0054z00000AAVA1E0T,APAC,Corporate,New Business,2021-05-19,3721.82,3,Unknown Rep,2021,2,5
0061Y00000QA2s2UQK,0054z00000AALAIgV3,EMEA,Corporate,Upsell,2020-06-16,16377.14,1,Unknown Rep,2020,2,6
0061Y00000QA2sfFBB,0054z00000AAFA1E0n,APAC,Corporate,New Business,2020-06-25,1090.56,1,Unknown Rep,2020,2,6
0061Y00000QA2snPYZ,0054z00000AAVA1E1V,EMEA,Corporate,Upsell,2020-12-31,7455.0,4,Unknown Rep,2020,4,12
0061Y00000QA2orGEV,0051Y00000QARBgp8N,EMEA,Enterprise,Upsell,2019-08-20,29282.26,4,Unknown Rep,2019,3,8
0061Y00000QA2rzGGS,0051Y00000QARBgp8N,EMEA,Enterprise,Upsell,2020-04-20,271503.09,4,Unknown Rep,2020,2,4
0061Y00000QA2orOOZ,0051Y00000QARBgp8W,AMER,Corporate,Upsell,2019-08-29,1218.37,3,Unknown Rep,2019,3,8
0061Y00000QA2s2TGG,0054z00000AAQ95znP,EMEA,Enterprise,Upsell,2020-09-29,480718.0,6,Unknown Rep,2020,3,9
0061Y00000QA0oCbLE,0054z00000AABA18jp,APAC,Enterprise,Upsell,2019-06-28,80551.97,3,Hannah Abbott,2019,2,6
0061Y00000QA2nnUHJ,0054z00000AAY98dRX,EMEA,Corporate,New Business,2019-06-27,129220.0,3,Unknown Rep,2019,2,6
0061Y00000QA2s1LND,0054z00000AAU9yY6Y,EMEA,Corporate,Upsell,2020-09-30,7228.37,1,Unknown Rep,2020,3,9
0061Y00000QA2smXIU,0054z00000AAVA1E1Z,EMEA,Enterprise,Upsell,2020-10-22,25504.95,3,Unknown Rep,2020,4,10
0061Y00000QA0qYpMG,0051Y00000QARBgp8W,AMER,Corporate,Upsell,2020-01-31,24046.84,4,Unknown Rep,2020,1,1
0061Y00000QA2slCAR,0054z00000AAFA1E16,EMEA,Corporate,Upsell,2020-09-12,19244.98,1,Unknown Rep,2020,3,9
0061Y00000QA2snISK,0054z00000AAQ98tcW,AMER,Corporate,New Business,2020-11-23,15689.58,2,Unknown Rep,2020,4,11
0061Y00000QA2orQEZ,0054z00000AAVA1UwD,AMER,Enterprise,Upsell,2019-09-30,167908.0,2,George Bluth,2019,3,9
0061Y00000QA0pNtOZ,0054z00000AAFA1E0p,AMER,Enterprise,Upsell,2019-10-17,3859.76,1,Bob Smith,2019,4,10
0061Y00000QA2sfWWB,0054z00000AAVA1E1Y,EMEA,Corporate,Upsell,2020-07-03,11409.99,3,Unknown Rep,2020,3,7
0061Y00000QA2slKVO,0054z00000AAVA1E0V,AMER,Enterprise,Upsell,2020-09-21,22651.37,1,Alice Chen,2020,3,9
0061Y00000QA0qVwXY,0054z00000AAFA1E0i,EMEA,Corporate,New Business,2020-01-14,14569.2,3,Edward Nygma,2020,1,1
0061Y00000QA2snKZR,0054z00000AAFA1E0m,EMEA,Corporate,Upsell,2020-11-11,14429.48,5,Unknown Rep,2020,4,11
0061Y00000QA2ttZJY,0051Y00000QARBgp8N,EMEA,Enterprise,New Business,2020-12-16,196287.16,3,Unknown Rep,2020,4,12
0061Y00000QA0nIxXH,0054z00000AAFA1E0p,AMER,Enterprise,Upsell,2019-04-12,16923.58,3,Bob Smith,2019,2,4
0061Y00000QA2slPET,0054z00000AAFA1E0g,EMEA,Corporate,Upsell,2021-01-27,9411.19,4,Unknown Rep,2021,1,1
0061Y00000QA0rH6ED,0054z00000AAQ985lY,EMEA,Enterprise,Upsell,2020-04-29,38358.47,3,Unknown Rep,2020,2,4
0061Y00000QA0nIxRU,0054z00000AAVA1E0V,AMER,Enterprise,New Business,2019-09-06,110225.97,3,Alice Chen,2019,3,9
0061Y00000QA0pPdPF,0054z00000AAQ98tcW,AMER,Corporate,New Business,2020-01-28,14697.0,2,Unknown Rep,2020,1,1
0061Y00000QA0rI1KA,0051Y00000QARBgp8N,EMEA,Enterprise,Upsell,2020-03-25,20082.32,1,Unknown Rep,2020,1,3
0061Y00000QA2s0UCC,0054z00000AAFA1Iw7,EMEA,Corporate,Upsell,2020-09-10,6183.82,1,Unknown Rep,2020,3,9
0061Y00000QA0nVxXT,0054z00000AAVA1UwC,AMER,Corporate,Upsell,2019-06-14,2515.11,4,Fiona Gallagher,2019,2,6
0061Y00000QA0pM8QX,0054z00000AAVA1UwD,AMER,Enterprise,Upsell,2019-10-23,126192.86,1,George Bluth,2019,4,10
0061Y00000QA2s1RQJ,0054z00000AAU9yY6Y,EMEA,Corporate,Upsell,2020-06-30,15336.0,1,Unknown Rep,2020,2,6
0061Y00000QA0rG9FA,0054z00000AADAKaw6,APAC,Corporate,Upsell,2020-06-26,37237.51,1,Unknown Rep,2020,2,6
0061Y00000QA0pMhJF,0054z00000AAVA1E0S,AMER,Enterprise,Upsell,2019-10-03,49203.75,4,Ian Wright,2019,4,10
0061Y00000QA2shXEQ,0054z00000AAFA1E1h,EMEA,Corporate,New Business,2020-08-28,31201.66,2,Unknown Rep,2020,3,8
0061Y00000QA2snEGX,0054z00000AAFA1E1c,EMEA,Corporate,Upsell,2020-10-31,2937.69,4,Unknown Rep,2020,4,10
0061Y00000QA2tvXGG,0054z00000AAFA1E0l,APAC,Corporate,Upsell,2021-05-24,20066.3,4,Unknown Rep,2021,2,5
0061Y00000QA0qVyHH,0054z00000AADAKaw6,APAC,Corporate,New Business,2020-01-27,12268.8,2,Unknown Rep,2020,1,1
0061Y00000QA0nJ1PR,0051Y00000QAVBgScR,AMER,Corporate,New Business,2019-03-25,139373.0,4,Charlie Day,2019,1,3
0061Y00000QA2rzPTD,0054z00000AAVA1E0V,AMER,Enterprise,New Business,2020-06-02,114500.85,2,Alice Chen,2020,2,6
0061Y00000QA2plRVM,0051Y00000QARBgp8N,EMEA,Enterprise,New Business,2019-09-06,3298.95,2,Unknown Rep,2019,3,9
0061Y00000QA2tvPHK,0054z00000AAY98dRX,EMEA,Corporate,Upsell,2021-01-21,6342.3,4,Unknown Rep,2021,1,1
0061Y00000QA2tuBNL,0054z00000AAVA1UwM,APAC,Corporate,Upsell,2020-12-28,3394.37,2,Unknown Rep,2020,4,12
0061Y00000QA2s0MYL,0054z00000AAVA1E0V,AMER,Enterprise,New Business,2020-06-30,49484.16,2,Alice Chen,2020,2,6
0061Y00000QA0qV2XT,0054z00000AAFA1E0p,AMER,Enterprise,Upsell,2019-12-06,79422.07,3,Bob Smith,2019,4,12
0061Y00000QA0nUpUC,0054z00000AAVA1E0V,AMER,Enterprise,Upsell,2019-05-06,34948.19,3,Alice Chen,2019,2,5
0061Y00000QA2smROR,0051Y00000QARBei3T,EMEA,Corporate,Upsell,2020-10-23,15669.98,5,Unknown Rep,2020,4,10
0061Y00000QA2sgVNB,0051Y00000QARBgp8N,EMEA,Enterprise,Upsell,2020-07-21,55739.78,2,Unknown Rep,2020,3,7
0061Y00000QA2nnSBG,0054z00000AADAKaw6,APAC,Corporate,Upsell,2019-03-27,8226.91,2,Unknown Rep,2019,1,3
0061Y00000QA0rFcON,0054z00000AAVA1E1Q,EMEA,Corporate,Upsell,2020-02-12,5897.55,3,Unknown Rep,2020,1,2
0061Y00000QA0qY6YF,0054z00000AADAKaw6,APAC,Corporate,Upsell,2020-01-31,33228.0,3,Unknown Rep,2020,1,1
0061Y00000QA2sgFDQ,0054z00000AAFA1E0o,AMER,Enterprise,Upsell,2020-07-21,14696.79,4,Unknown Rep,2020,3,7
0061Y00000QA2shLBO,0054z00000AAFA1E0m,EMEA,Corporate,Upsell,2020-09-09,7270.97,1,Unknown Rep,2020,3,9
0061Y00000QA0rGiEE,0054z00000AAVA1E1U,EMEA,Corporate,Upsell,2020-03-13,11970.6,3,Unknown Rep,2020,1,3
0061Y00000QA0qYxDS,0054z00000AAVA1UwD,AMER,Enterprise,Upsell,2020-01-31,178142.98,3,George Bluth,2020,1,1
0061Y00000QA2s0TEZ,0054z00000AADAKaw6,APAC,Corporate,Upsell,2020-04-30,1963.01,3,Unknown Rep,2020,2,4
0061Y00000QA2nnDMH,0051Y00000QANBgSQz,EMEA,Corporate,New Business,2019-03-29,39209.04,2,Unknown Rep,2019,1,3
0061Y00000QA2sfOSI,0054z00000AAFA1E0k,EMEA,Enterprise,New Business,2020-07-31,108600.55,3,Unknown Rep,2020,3,7
0061Y00000QA2s0UEQ,0054z00000AAVA1UwC,AMER,Corporate,Upsell,2020-07-31,11234.47,3,Fiona Gallagher,2020,3,7
0061Y00000QA2sgEOI,0054z00000AAY98dRX,EMEA,Corporate,Upsell,2020-07-31,11123.71,2,Unknown Rep,2020,3,7
0061Y00000QA2shXJF,0054z00000AAFA1E0g,EMEA,Corporate,New Business,2020-10-30,45803.52,2,Unknown Rep,2020,4,10
0061Y00000QA0nJ6NX,0054z00000AAJA0qTj,AMER,Corporate,Upsell,2019-03-22,16102.8,1,Diana Prince,2019,1,3
0061Y00000QA0rFwNA,0054z00000AAVA1E0V,AMER,Enterprise,New Business,2020-05-27,91174.56,4,Alice Chen,2020,2,5
0061Y00000QA2ooOCY,0054z00000AAFA1E15,EMEA,Corporate,New Business,2019-06-20,8520.0,1,Unknown Rep,2019,2,6
0061Y00000QA2smBUA,0054z00000AAFA1E0n,APAC,Corporate,Upsell,2020-10-12,9406.08,2,Unknown Rep,2020,4,10
0061Y00000QA0rGfMD,0054z00000AAPAKHPh,EMEA,Corporate,Upsell,2020-04-30,11164.6,3,Unknown Rep,2020,2,4
0061Y00000QA2oqBMK,0054z00000AAFA1E0p,AMER,Enterprise,Upsell,2019-07-29,33109.03,4,Bob Smith,2019,3,7
0061Y00000QA2rzOFX,0051Y00000QARBei3T,EMEA,Corporate,Upsell,2020-06-24,18403.2,2,Unknown Rep,2020,2,6
0061Y00000QA2ttZUM,0051Y00000QARBei3T,EMEA,Corporate,New Business,2021-01-13,21300.0,2,Unknown Rep,2021,1,1
0061Y00000QA2smMPR,0054z00000AADAKaw6,APAC,Corporate,New Business,2020-12-30,59980.8,4,Unknown Rep,2020,4,12
0061Y00000QA0pOeLI,0054z00000AAPAKOSd,AMER,Enterprise,Upsell,2019-10-31,223660.16,4,Unknown Rep,2019,4,10
0061Y00000QA2twLDD,0054z00000AAHAJThl,EMEA,Corporate,Upsell,2021-03-23,19180.22,4,Unknown Rep,2021,1,3
0061Y00000QA2sgXLR,0054z00000AAVA1E1Q,EMEA,Corporate,New Business,2020-07-23,3834.0,1,Unknown Rep,2020,3,7
0061Y00000QA2slAQM,0054z00000AAFA1E0h,EMEA,Corporate,New Business,2020-09-17,3068.62,3,Unknown Rep,2020,3,9
0061Y00000QA0rHaAU,0054z00000AAE97J5t,APAC,Enterprise,Upsell,2020-03-12,71257.19,1,Unknown Rep,2020,1,3
0061Y00000QA2tvPHZ,0054z00000AAFA1E0l,APAC,Corporate,Upsell,2021-01-22,8588.16,1,Unknown Rep,2021,1,1
0061Y00000QA2shOKZ,0054z00000AAVA1E0V,AMER,Enterprise,Upsell,2020-09-03,8907.15,4,Alice Chen,2020,3,9
0061Y00000QA2smLPQ,0054z00000AAHAJThl,EMEA,Corporate,Upsell,2020-10-25,2319.14,1,Unknown Rep,2020,4,10
0061Y00000QA2s2AQP,0054z00000AAU9yY6Y,EMEA,Corporate,Upsell,2020-07-28,9406.08,1,Unknown Rep,2020,3,7
0061Y00000QA2rzXEV,0054z00000AAFA1E15,EMEA,Corporate,Upsell,2020-04-13,6035.57,4,Unknown Rep,2020,2,4
0061Y00000QA2upPHD,0054z00000AAVA1E0U,APAC,Corporate,New Business,2022-01-20,17004.5,1,Unknown Rep,2022,1,1
0061Y00000QA2tvTIP,0054z00000AAVA1E0X,AMER,Corporate,Upsell,2021-02-22,39628.23,5,Unknown Rep,2021,1,2
0061Y00000QA2sgATU,0054z00000AAVA1UwD,AMER,Enterprise,Upsell,2020-07-16,11736.0,4,George Bluth,2020,3,7
0061Y00000QA2orQMQ,0054z00000AAVA1E1Q,EMEA,Corporate,New Business,2019-08-29,38766.0,4,Unknown Rep,2019,3,8
0061Y00000QA2s1VMI,0051Y00000QARBei3T,EMEA,Corporate,New Business,2020-06-26,48393.6,3,Unknown Rep,2020,2,6
0061Y00000QA0nW0HE,0054z00000AAVA1UwD,AMER,Enterprise,Upsell,2019-06-04,2375.24,1,George Bluth,2019,2,6
0061Y00000QA0rFmKY,0054z00000AAK9KyWm,EMEA,Enterprise,Upsell,2020-02-12,4861.82,1,Unknown Rep,2020,1,2
0061Y00000QA2upLTH,0054z00000AAFA1Iw9,APAC,Corporate,New Business,2021-05-24,17339.62,2,Unknown Rep,2021,2,5
0061Y00000QA0qV2VS,0051Y00000QARBgp8W,AMER,Corporate,Upsell,2020-01-29,15997.16,4,Unknown Rep,2020,1,1
0061Y00000QA2s1AOR,0054z00000AAVA1E0S,AMER,Enterprise,Upsell,2020-04-30,110230.08,4,Ian Wright,2020,2,4
0061Y00000QA2s2WSG,0054z00000AAVA1E1W,EMEA,Corporate,New Business,2020-06-09,21265.92,2,Unknown Rep,2020,2,6
0061Y00000QA0rH1FY,0051Y00000QARBgp8N,EMEA,Enterprise,New Business,2020-05-06,333688.18,4,Unknown Rep,2020,2,5
0061Y00000QA2ooADC,0054z00000AA29aDWI,EMEA,Corporate,Upsell,2019-06-13,31653.5,3,Unknown Rep,2019,2,6
0061Y00000QA2slZZH,0054z00000AAFA1E1c,EMEA,Corporate,New Business,2020-09-30,28627.2,2,Unknown Rep,2020,3,9
0061Y00000QA2rzXAO,0054z00000AAQ9zzrE,APAC,Corporate,Upsell,2020-08-31,1226.88,1,Unknown Rep,2020,3,8
0061Y00000QA2smGZZ,0054z00000AAVA1UwE,EMEA,Enterprise,New Business,2020-11-18,5876.24,1,Unknown Rep,2020,4,11
0061Y00000QA0pOeTM,0054z00000AAFA1E0o,AMER,Enterprise,Upsell,2019-11-14,116906.33,3,Unknown Rep,2019,4,11
